Record,Name,Price1L1,Tax Rate Link,PRICE NO VAT,PRICE WITHOUT MARK UP WITHOUT VAT
487,Halloumi cheese,2.99,1,2.99,2.09
488,PLU,0,1,0.00,0.00
489,PLU,0,1,0.00,0.00
490,PLU,0,1,0.00,0.00
491,PLU,0,1,0.00,0.00
492,PLU,0,1,0.00,0.00
493,PLU,0,1,0.00,0.00
494,PLU,0,1,0.00,0.00
495,PLU,0,1,0.00,0.00
496,PLU,0,1,0.00,0.00
497,PLU,0,1,0.00,0.00
498,Mutti Chopped Tomatoes,1.8,1,1.80,1.26
499,PLU,0,1,0.00,0.00
500,PLU,0,1,0.00,0.00
501,PLU,0,1,0.00,0.00
502,PLU,0,1,0.00,0.00
503,PLU,0,1,0.00,0.00
504,PLU,0,1,0.00,0.00
505,PLU,2.75,1,2.75,1.93
506,PLU,0,1,0.00,0.00
507,PLU,1.4,1,1.40,0.98
508,PLU,1.2,1,1.20,0.84
509,PLU,1.3,1,1.30,0.91
510,PLU,1.2,1,1.20,0.84
511,Pasty Choc ,3.5,3,2.92,2.04
512,PLU,0,1,0.00,0.00
513,PLU,0,1,0.00,0.00
514,PLU,0,1,0.00,0.00
515,PLU,0,1,0.00,0.00
516,PLU,0,1,0.00,0.00
517,PLU,0,1,0.00,0.00
518,PPC Crackling 55g,1.99,1,1.99,1.39
519,PLU,0,1,0.00,0.00
520,PLU,0,1,0.00,0.00
521,PLU,0,1,0.00,0.00
522,Honey comb PURE,9.99,1,9.99,6.99
523,Salt Pinch Pot Mini's,3.25,1,3.25,2.28
524,PLU,0,1,0.00,0.00
525,PLU,0,1,0.00,0.00
526,PLU,0,1,0.00,0.00
527,PLU,0,1,0.00,0.00
528,PLU,0,1,0.00,0.00
529,PPC Crackling 1.5L,13,1,13.00,9.10
530,PLU,0,1,0.00,0.00
531,PLU,0,1,0.00,0.00
532,PLU,0,1,0.00,0.00
533,PLU,0,1,0.00,0.00
534,KC Easter Bar,3.5,3,2.92,2.04
535,Lollipop Choc Chick,2.75,3,2.29,1.60
536,BM Easter Egg Fudge,3.5,3,2.92,2.04
537,Buttermilk Egg & Soldier,7.95,3,6.63,4.64
538,PLU,0,1,0.00,0.00
539,PLU,0,1,0.00,0.00
540,PLU,0,1,0.00,0.00
541,PLU,0,1,0.00,0.00
542,Lindt Choc Eggs,2.99,3,2.49,1.74
543,Lindt Bunnies,2.99,3,2.49,1.74
544,PLU,0,1,0.00,0.00
545,Cawston Press Apple Juic,3.69,3,3.08,2.15
546,PLU,0,1,0.00,0.00
547,PLU,0,1,0.00,0.00
548,PLU,0,1,0.00,0.00
549,PLU,0,1,0.00,0.00
550,PLU,0,1,0.00,0.00
551,PLU,0,1,0.00,0.00
552,PLU,0,1,0.00,0.00
553,PLU,0,1,0.00,0.00
554,PLU,0,1,0.00,0.00
555,PLU,0,1,0.00,0.00
556,Spring Water (Still),0.65,3,0.54,0.38
557,Spring Water (Sparkling),0.65,3,0.54,0.38
559,PLU,0,1,0.00,0.00
560,PLU,3.5,1,3.50,2.45
561,PLU,3.5,1,3.50,2.45
562,PLU,3.5,1,3.50,2.45
563,PLU,3.5,1,3.50,2.45
564,PLU,5.79,1,5.79,4.05
565,PLU,1.25,1,1.25,0.88
566,PLU,1.25,1,1.25,0.88
567,Premium Indian Tonic 200,1.25,3,1.04,0.73
568,Elderflower tonic 200ml,1,3,0.83,0.58
569,Premium Indian Tonic 500,2.49,3,2.08,1.45
570,Med Tonic 200ml,1.25,3,1.04,0.73
571,PLU,0,1,0.00,0.00
572,PLU,0,1,0.00,0.00
573,PLU,0,1,0.00,0.00
574,PLU,0,1,0.00,0.00
575,Cornish Orchards Cans,1.5,3,1.25,0.88
576,Cawston Press Cartons,1.1,3,0.92,0.64
577,PLU,1.1,1,1.10,0.77
579,Peninsula Smoked Cheese,4.25,1,4.25,2.98
580,AD Xmas Vodka 70cl,44,3,36.67,25.67
581,AD Xmas Gin 70cl,43,3,35.83,25.08
582,PLU,3.5,3,2.92,2.04
583,Mulled Wine,11.5,3,9.58,6.71
584,MB Salad Dressing,3.5,1,3.50,2.45
585,PLU,0,1,0.00,0.00
586,Salted Caramel Sauce,3.79,3,3.16,2.21
587,B Dog Walking GIFT,16.5,3,13.75,9.63
588,B Gardening GIFT,19,3,15.83,11.08
589,BombayMix250g,1.25,3,1.04,0.73
590,Salted Pretzels,1.9,3,1.58,1.11
591,Organic Green Lentils,1.7,1,1.70,1.19
592,S/Cara Mini Eggs,5.45,3,4.54,3.18
593,Gingerbread Bunnies,1.65,1,1.65,1.16
594,PLU,0,1,0.00,0.00
595,KC Milk Egg,9.25,3,7.71,5.40
596,Choc Chick Nets 100g,2.3,3,1.92,1.34
597,KC Honeycomb Egg,9.25,3,7.71,5.40
598,KC Caramel SS Egg,9.25,3,7.71,5.40
599,Choc H/Nut Eggs 84g,2.1,3,1.75,1.23
601,Medium Steak Pasties (3),11,1,11.00,7.70
602,Medium Cheese and Onion ,11,1,11.00,7.70
603,Medium Sausage rolls (5),5,1,5.00,3.50
604,Vanilla 500ml,4.99,3,4.16,2.91
605,Strawberry 500ml,4.99,3,4.16,2.91
606,Callestick Choc F 500ml,4.99,3,4.16,2.91
607,Callestick Vanilla 125ml,2.5,3,2.08,1.46
608,Callestick 125ml,2.5,3,2.08,1.46
609,Callestick Mint CC 125ml,1,3,0.83,0.58
610,Callestick 500ml,4.99,3,4.16,2.91
611,Callestick Choc Fdg 125m,2.5,3,2.08,1.46
612,Callestick Blood Org 125,2.5,3,2.08,1.46
613,Granny Lemonade Delipops,1.7,3,1.42,0.99
614,Callestick Seasalt 125ml,2.5,3,2.08,1.46
615,Callestick Honeycomb 125,2.5,3,2.08,1.46
